[09.05.2018 4:15:44] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 4:16:10] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 4:46:45] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 5:55:22] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 5:55:26] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 6:10:22] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 6:17:48] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 6:20:07] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 6:27:37] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 6:35:08] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 6:36:54] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 6:52:49] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 12:20:40] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 13:31:37] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 13:39:53] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 13:40:18] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 13:49:28] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:13:23] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:16:21] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:17:43] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:20:00] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:22:05] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:22:06] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:22:46] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:25:47] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:27:15] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 14:27:51] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 15:03:09] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 15:10:50] [INFO] received Windows console close event; shutting log-core down
[09.05.2018 15:12:31] [INFO] received Windows console close event; shutting log-core down
[05/09/18 16:05:04] [INFO] received Windows console close event; shutting log-core down
[05/09/18 16:09:02] [INFO] received Windows console close event; shutting log-core down
